Alarm clock,cm,10,5,15
Backpack,in,12,8,18
Banana,in,1,1,7.5
Bandaid,in,1,0.05,3
Basket,in,12,12,8
Bath towel,in,13,13,3
Beer bottle,in,2.5,2.5,9
Bench,cm,175,45,100
Bicycle,cm,160,40,100
Binder (closed),in,12,3,12
Bottle cap,in,1.17,1.17,0.3
Bread loaf,in,9,5,5
Broom,in,15.5,1.25,55.5
Bucket,in,13,12,10.5
Butcher’s knife,in,15,1,4
Can opener,in,6,2,2
Candle,in,10,2,2
Cellphone,cm,7,14,0.8
Chair,cm,45,45,100
Clothes hamper,cm,50,40,75
Combination lock,cm,4.8,2,5.5
Computer mouse,cm,11,6,4
Desk lamp,in,7,7,25
Dishrag or hand towel,cm,20,1,10
Doormat,in,30,18,1.5
Dress,cm,45,45,110
Dress shoe (men),cm,25,8,8
Drill,in,10,4,9
Drinking Cup,in,4,4,4
Drying rack for plates,in,19,12,5
Envelope,in,9,0.1,4
Fan,in,15,8,15
French press,in,7.7,5.3,11.8
Frying pan,in,20,12,3
Hair dryer,in,11.2,4,10
Hammer,in,5.75,1.13,12.75
Helmet,in,8.2,15,6.2
Iron,cm,30,14.5,12
Jeans,cm,35,25,80
Keyboard,in,21,8,1
Ladle,in,4,3,15
Lampshade,in,12,12,9
Laptop (open),in,14,10,10
Lemon,cm,8,6,6
Letter opener,cm,10,2,1
Lighter,cm,2.2,1.1,6.2
Lipstick,in,0.8,0.8,3.2
Match,cm,4,0.2,0.2
Measuring cup,in,6,3,1.75
Microwave,in,20,17,13
Mixing/Salad Bowl,in,13,13,5.4
Monitor,in,22,9,20
Mug,in,6,5,4
Nail,cm,3,0.2,0.2
Necklace,in,8,3,0.06
Orange,cm,8,8,8
Padlock,in,2,1,3
Paintbrush,cm,1,1,17
Paper towel,in,5.5,5.5,11
Pen,in,0.3,0.3,6
Pill bottle,in,2,2,4.5
Pillow,in,18,20,6
Pitcher,in,8,8,9
Plastic bag,in,6.5,0.01,11.5
Plate,in,10,10,2
Plunger,in,6.3,6.3,18.1
Pop can,cm,6.6,6.6,10.5
Portable heater,in,6.2,7,9.2
Printer,in,16,15,12
Remote control,cm,24,5,1
Ruler,cm,30,3,0.25
Running shoe,cm,27,10,15
Safety pin,in,2,0.5,0.05
Salt shaker,in,2.15,2.15,4.11
Sandal,cm,27,10,12
Screw,in,0.4,0.4,2.7
Shovel,in,40,9.5,3
Skirt,in,16,2,18
Sleeping bag,cm,183,75,10
Soap dispenser,cm,12,10,24
Sock,cm,10,0.5,30
Soup Bowl,in,7,7,3
Spatula,in,12.5,4,1
Speaker,in,6.7,8.7,12.2
Still Camera,cm,14,25,7.1
Strainer,in,10,10,6.5
Stuffed animal,in,9,7,17
Suit jacket,in,20,1,25
Sunglasses,cm,14,14,4
Sweater,in,20,1,25
Swimming trunks,cm,35,25,40
T-shirt,in,20,1,25
TV,in,44,8,28
Teapot,in,9.5,6.5,10
Tennis racket,cm,27,4,70
Tie,in,20,0.3,5
Toaster,in,11,6.75,7.75
Toilet paper roll,in,5,2,2
Trash bin,in,16,13,26
Tray,in,14,10,1
Umbrella,cm,150,150,100
Vacuum cleaner,cm,100,75,100
Vase,in,7,7,15
Wallet,in,4,0.75,4
Watch,cm,6,2.5,6
Water bottle,in,3,3,11
Weight (exercise),in,12,5,5
Weight scale,in,12,12,1.5
Wheel,in,19,8,19
Whistle,in,2,2,2
Wine bottle,in,3,3,12
Winter glove,cm,27,15,5
Wok,in,24,14,14
