class,uuid,image-0,image-1,image-2,image-3,image-4,image-5,image-6,image-7,example_im_0,example_im_1,example_im_2,example_im_3,example_im_4,label
desk_lamp,0a096c7344b04eda9cf483491d69d833,c3f94dcb-5918-4e0b-89fa-1d0064c3af92,ccd6cd83-f948-4dcc-b667-c7c941dd4ea9,3720142f-4214-455a-8cce-7a5b724431d0,5ba9a8fe-e5cd-4c6d-935f-1721895be81d,d8f3c793-a933-46ad-bd46-3ca55dc898cd,171f320d-ea9f-4db2-b629-2940f815bc87,77878b69-df83-439a-807c-aabe296c54a8,bcbcd0e0-0693-48cd-b39a-aaa161dc166a,8cbc8e99da0d4b4.png,9da4d16e2617428.png,9e71d30e046b4f7.png,56f201cc4ca6456.png,572c27cbd51e4c3.png,good
candle,4c0a62f5a47a41bb9b39881c271b79fc,f5726dd5-c34a-4ae7-8f6b-e503d662e2d1,eab9479b-54df-4582-acb3-2e8a7a9c2f58,8705f4fa-3620-4213-98ee-052043243ad8,a72d1c63-a489-4983-a2f5-f80b2621ecbb,3049d493-09f8-49c0-96ef-cc64ec65932f,8e2dfe17-6324-470a-bdeb-ac510518b222,77884b1a-d06d-4fa9-ad66-1add389f0086,092abf38-fe72-4fe4-affd-4ebd8db42b50,962ea465fa45418.png,ef2966d228dc488.png,d66bcc2e3964407.png,56c4e9e60b8d45d.png,d542cc0faddd435.png,bad
watch,1757576875664d9ab891168a4c01b521,d8b02c26-9efa-448f-b8b2-a4498226aa84,ee57e679-50af-465c-80fd-ec28f05ec6a0,24c025c6-94fe-4496-85e2-50a03ce5b89f,241cfb12-c70a-46ca-a6af-48b99d61790f,006d231f-3a88-4396-8c47-2c9081462172,4c7c433a-e748-468a-ab85-c253f65ec006,4a28994b-7e9a-4af5-b5bc-a6fb05c55c23,0b6ce5e1-8675-4634-899a-c575170e9ffa,e0e129ffcb834f6.png,48ae13e55b26414.png,05dbfec8d9264b4.png,f8eb2d2b40bf4fb.png,0089f93ef780412.png,bad
candle,50f5028f64b34fd39bfe2ded0ac21464,89cd0ab5-d678-4dfd-ad73-b67ec11dbe8d,10a3ef72-edf4-41a3-9cff-6018bc11ea42,66ba168a-0c29-4014-8985-a808711bf70c,eb3cc680-ff94-4eff-ae77-8d37d67c33fd,0b213578-9d46-4251-a671-f982cb176837,4af6d4c3-f2ec-4cbc-905b-734552452957,6101f969-8fc1-415a-b99c-50fac7b46f26,4b61e406-526c-4cd6-aadd-53b6da33907c,504cb0fcab7447a.png,1e11e93aab3b45d.png,d004026e46a44e2.png,8272e3cd681f4cc.png,57caf1f70490450.png,good
umbrella,ddb967e02f3c43be9082930d7caae023,15daee29-7275-43a4-a490-e60d934cbcf0,7469cf5b-8b9a-4a9b-9d1c-9dc88e213073,163d1f71-a15f-4b35-bfc4-c170b24c661f,1afa39cb-cc03-41c6-a8c2-4ad9a244d9da,ddae4660-f9c1-46f4-93ca-56e5ad190a7d,9cc696f8-b414-4b7b-9674-76cf930210a1,bbd7cf2d-c7cc-401a-89e9-de570e335487,85ade3aa-46cf-4100-bfa0-0eea57424ebb,7d52ab47f3694ec.png,78e189aca322499.png,bcd4d488400644b.png,f5c0a867d9d348b.png,c849778031fb4a7.png,bad
umbrella,bac8486298ab41ab884fccb867f1527b,53ad51f7-1c7c-42d3-8d94-4023cd9c283c,f95591f9-f44c-4015-bd11-84798742eaa1,3d1ce01d-6057-4df0-b618-197bf216539f,ce5248c0-9b26-4731-8562-b6af204f3777,91ccccf7-648f-4839-a527-221394ec60b5,a2fc5858-671b-4d61-a6c9-9c08aca871df,4db24fe3-27af-4ed5-b9e1-f68b0d71017d,da1236a5-d127-4788-bd5a-cee81700b1f4,98624221f8674da.png,c739f1ffe6c44e3.png,3906f8cff58a4e0.png,35b316421c334bd.png,5b8bd5789c034ce.png,bad
shovel,1f939ec24d7840c48f98c74da6299d80,e56bb4de-0707-46d7-8631-57e3f9c04446,3a61f9b4-80f9-43f1-ab2a-a36dbb252616,27287926-ed51-4860-8968-32f358b78402,c7759e31-66f5-4d71-9182-b2830991f924,07d72168-a6a9-4089-a588-25e544c31d07,36a6ae21-d0ae-41cf-a902-3722d72dc83c,5f38cf5d-f261-4fd6-ac7a-e050c5fd0abe,f1e65c98-63a6-47ff-81c6-f624c1727205,ca3626fe59f64f1.png,dfe7e299afbc44b.png,aaf689e1c7d541e.png,d6077f4cf48c47f.png,8c40124aa81b4ff.png,good
printer,291f15c9c1754e4084a5655783efcbd8,832455fb-f5d2-443c-8724-1131a14bd0d9,73a47312-62e8-461f-af49-21eb261d4e82,2e0248cc-17c0-427e-8f65-a00b4a5ec0ae,0503fcf0-8ca9-4b8c-a0cb-bffa5b91b494,7c197d72-8389-4451-906e-67224eb8dec3,a72d30be-6694-4f06-89da-972dcaca148f,139228b0-ccfe-4442-9f3a-0aafc6b08918,6560c491-bd1e-4e76-9c30-bf6d7b44eba8,494f345f52f6416.png,413ebff240cc4a1.png,ca6a15a3c36449c.png,c196d0a6c68f4e1.png,b9a9a292d8994d3.png,bad
monitor,d61d0514dd70422596a3f15c3dae5682,f3170d91-db7e-4785-a978-e326e36d6502,c767c402-c8cf-489c-8840-86075fd7c251,9c84260a-babc-4af3-a664-f7fb9c0c7326,829c2ffa-2c39-4e36-b5cc-830d3362b45e,debadec0-b23a-40b6-86cf-f0edaf82e9ac,8b3e2e73-23f9-4b58-91c3-28ea114aa339,6eb63beb-29f2-4e0d-a19e-13d97e63b1b9,17a73bd9-6fea-4ee0-8b69-64650ada0426,70afd835351345a.png,a542d63aed6b4c6.png,cff5ae737c8d4d3.png,44a198b8f927404.png,936d6a924c3b405.png,good
printer,9748cdcaf09c4a1bbe4ffe1e7b4bfd52,8069f60f-e936-41b3-8fd8-a195164fc8a6,f2ccd1a0-d4da-41e8-b230-d1c00345fb1a,76d29887-5309-4652-a42b-a09badfabaed,32c392fa-f5d2-44ba-8985-35e19d97f4b0,de60c50f-001d-4ece-a710-058bdfad57bd,bc2246ce-0e75-4f51-889b-4a4473c7f6d3,2dd55dff-e9b0-42d1-86d3-4efdac720c6a,c922587d-62a1-40cd-8011-6e652925051a,528116a4e88140c.png,1b5b80c89f75448.png,31d245131c5a4be.png,bd1efc5057994e1.png,51ce55bcffb143d.png,bad
